[github.com/flipped-aurora/gin-vue-admin/server]2025-06-24 10:07:33.867	[34minfo[0m	C:/Users/Administrator/Desktop/shiled-platform/server/cmd/agent1/main.go:211	发送（1）笔能量给（TMthe9mu2x73S2PsrrUDjaEkkL9Uni4oRu），订单号 2025062410074oRu

[github.com/flipped-aurora/gin-vue-admin/server]2025-06-24 10:07:34.551	[34minfo[0m	C:/Users/Administrator/Desktop/shiled-platform/server/cmd/agent1/main.go:173	订单已经发送无需重复: 1fbd643bb8651ee1b733f8d05dc5f76408410a341f55e0b6da070d1cc78d922f

[github.com/flipped-aurora/gin-vue-admin/server]2025-06-24 10:08:33.142	[34minfo[0m	C:/Users/Administrator/Desktop/shiled-platform/server/cmd/agent1/main.go:173	订单已经发送无需重复: 1fbd643bb8651ee1b733f8d05dc5f76408410a341f55e0b6da070d1cc78d922f

[github.com/flipped-aurora/gin-vue-admin/server]2025-06-24 10:08:33.842	[34minfo[0m	C:/Users/Administrator/Desktop/shiled-platform/server/cmd/agent1/main.go:173	订单已经发送无需重复: 1fbd643bb8651ee1b733f8d05dc5f76408410a341f55e0b6da070d1cc78d922f

[github.com/flipped-aurora/gin-vue-admin/server]2025-06-24 10:09:33.157	[34minfo[0m	C:/Users/Administrator/Desktop/shiled-platform/server/cmd/agent1/main.go:173	订单已经发送无需重复: 1fbd643bb8651ee1b733f8d05dc5f76408410a341f55e0b6da070d1cc78d922f

[github.com/flipped-aurora/gin-vue-admin/server]2025-06-24 10:09:33.843	[34minfo[0m	C:/Users/Administrator/Desktop/shiled-platform/server/cmd/agent1/main.go:173	订单已经发送无需重复: 1fbd643bb8651ee1b733f8d05dc5f76408410a341f55e0b6da070d1cc78d922f

[github.com/flipped-aurora/gin-vue-admin/server]2025-06-24 10:10:33.373	[34minfo[0m	C:/Users/Administrator/Desktop/shiled-platform/server/cmd/agent1/main.go:173	订单已经发送无需重复: 1fbd643bb8651ee1b733f8d05dc5f76408410a341f55e0b6da070d1cc78d922f

[github.com/flipped-aurora/gin-vue-admin/server]2025-06-24 10:10:34.050	[34minfo[0m	C:/Users/Administrator/Desktop/shiled-platform/server/cmd/agent1/main.go:173	订单已经发送无需重复: 1fbd643bb8651ee1b733f8d05dc5f76408410a341f55e0b6da070d1cc78d922f

[github.com/flipped-aurora/gin-vue-admin/server]2025-06-24 10:14:11.615	[34minfo[0m	C:/Users/Administrator/Desktop/shiled-platform/server/cmd/agent1/main.go:173	订单已经发送无需重复: 1fbd643bb8651ee1b733f8d05dc5f76408410a341f55e0b6da070d1cc78d922f

[github.com/flipped-aurora/gin-vue-admin/server]2025-06-24 10:14:12.284	[34minfo[0m	C:/Users/Administrator/Desktop/shiled-platform/server/cmd/agent1/main.go:173	订单已经发送无需重复: 1fbd643bb8651ee1b733f8d05dc5f76408410a341f55e0b6da070d1cc78d922f

